flow,velo,dia,t,material,Safety_Status
2486.713741,3.825,0.5,0.01509,19.3,LOW
2002.629452,3.828,0.45,0.01427,22.5,LOW
2002.629452,3.828,0.45,0.01427,19.3,LOW
2492.660922,3.835,0.5,0.01509,22.5,LOW
1585.390321,3.835,0.4,0.0127,22.5,LOW
1585.390321,3.835,0.4,0.0127,19.3,LOW
2492.660922,3.835,0.5,0.01509,19.3,LOW
2497.243274,3.841,0.5,0.01509,22.5,LOW
2497.243274,3.841,0.5,0.01509,19.3,LOW
2011.088628,3.844,0.45,0.01427,22.5,LOW
2011.088628,3.844,0.45,0.01427,19.3,LOW
2501.075749,3.847,0.5,0.01509,22.5,LOW
2501.075749,3.847,0.5,0.01509,19.3,LOW
2501.932608,3.848,0.5,0.01509,22.5,LOW
2501.932608,3.848,0.5,0.01509,19.3,LOW
1590.853622,3.849,0.4,0.0127,22.5,LOW
2723.535363,3.849,0.4,0.0127,22.5,LOW
1590.853622,3.849,0.4,0.0127,19.3,LOW
2723.535363,3.849,0.4,0.0127,19.3,LOW
2017.762936,3.857,0.45,0.01427,22.5,LOW
2017.762936,3.857,0.45,0.01427,19.3,LOW
2019.531788,3.861,0.45,0.01427,22.5,LOW
2019.531788,3.861,0.45,0.01427,19.3,LOW
2020.567979,3.863,0.45,0.01427,22.5,LOW
2020.567979,3.863,0.45,0.01427,19.3,LOW
2521.058401,3.878,0.5,0.01509,22.5,LOW
2521.14305,3.878,0.5,0.01509,22.5,LOW
2521.058401,3.878,0.5,0.01509,19.3,LOW
2521.14305,3.878,0.5,0.01509,19.3,LOW
2528.817481,3.89,0.5,0.01509,22.5,LOW
2528.817481,3.89,0.5,0.01509,19.3,LOW
2531.314181,3.893,0.5,0.01509,22.5,LOW
2531.314181,3.893,0.5,0.01509,19.3,LOW
2533.315322,3.896,0.5,0.01509,22.5,LOW
2533.315322,3.896,0.5,0.01509,19.3,LOW
2038.976737,3.897,0.45,0.01427,22.5,LOW
2038.976737,3.897,0.45,0.01427,19.3,LOW
2535.182493,3.899,0.5,0.01509,22.5,LOW
2535.453252,3.899,0.5,0.01509,22.5,LOW
2040.305967,3.899,0.45,0.01427,22.5,LOW
2040.305967,3.899,0.45,0.01427,19.3,LOW
2535.182493,3.899,0.5,0.01509,19.3,LOW
2535.453252,3.899,0.5,0.01509,19.3,LOW
2536.924357,3.902,0.5,0.01509,22.5,LOW
2537.469718,3.902,0.5,0.01509,22.5,LOW
2536.924357,3.902,0.5,0.01509,19.3,LOW
2537.469718,3.902,0.5,0.01509,19.3,LOW
2047.19552,3.912,0.45,0.01427,22.5,LOW
2047.19552,3.912,0.45,0.01427,19.3,LOW
2548.373871,3.919,0.5,0.01509,22.5,LOW
2548.373871,3.919,0.5,0.01509,19.3,LOW
2050.93606,3.92,0.45,0.01427,22.5,LOW
2050.93606,3.92,0.45,0.01427,19.3,LOW
2549.541833,3.922,0.5,0.01509,22.5,LOW
2051.578173,3.922,0.45,0.01427,22.5,LOW
2051.578173,3.922,0.45,0.01427,19.3,LOW
2549.541833,3.922,0.5,0.01509,19.3,LOW
2551.208322,3.924,0.5,0.01509,22.5,LOW
2551.208322,3.924,0.5,0.01509,19.3,LOW
2556.018268,3.931,0.5,0.01509,22.5,LOW
2556.018268,3.931,0.5,0.01509,19.3,LOW
2558.405992,3.935,0.5,0.01509,22.5,LOW
2558.405992,3.935,0.5,0.01509,19.3,LOW
2559.89839,3.938,0.5,0.01509,22.5,LOW
2559.89839,3.938,0.5,0.01509,19.3,LOW
2063.12,3.943,0.45,0.01427,22.5,LOW
2063.12,3.943,0.45,0.01427,19.3,LOW
2564.285161,3.944,0.5,0.01509,22.5,LOW
2564.285161,3.944,0.5,0.01509,19.3,LOW
2064.342822,3.945,0.45,0.01427,22.5,LOW
2064.342822,3.945,0.45,0.01427,19.3,LOW
2567.439617,3.948,0.5,0.01509,22.5,LOW
2566.907819,3.948,0.5,0.01509,22.5,LOW
2567.439617,3.948,0.5,0.01509,19.3,LOW
2566.907819,3.948,0.5,0.01509,19.3,LOW
2569.476011,3.951,0.5,0.01509,22.5,LOW
2569.476011,3.951,0.5,0.01509,19.3,LOW
2069.551963,3.956,0.45,0.01427,22.5,LOW
2069.551963,3.956,0.45,0.01427,19.3,LOW
2573.64293,3.959,0.5,0.01509,22.5,LOW
2573.64293,3.959,0.5,0.01509,19.3,LOW
2071.756623,3.96,0.45,0.01427,22.5,LOW
2071.756623,3.96,0.45,0.01427,19.3,LOW
2578.213064,3.965,0.5,0.01509,22.5,LOW
2578.213064,3.965,0.5,0.01509,19.3,LOW
2578.595766,3.967,0.5,0.01509,22.5,LOW
2578.595766,3.967,0.5,0.01509,19.3,LOW
2581.151229,3.97,0.5,0.01509,22.5,LOW
2581.151229,3.97,0.5,0.01509,19.3,LOW
